あ
ああ<副>            那么;那样
おかげ[お陰]        多亏;托您的福
おかしい        可笑;滑稽;可疑;不正常
おかす[犯す/他]     犯;冒犯
おかず              副食;菜肴
おがむ[拝む/他]     拜;瞻仰
おき[沖]          (远离岸边)海上;湖面
おぎなう[補う/他]   补充;填补
おきる[起きる/自]   起来;起床;发生
おく[奥]            里头;内部;深处
おく[億]            亿
おく[置く/他]       放下;搁;撂
おくさま(さん)[奥様(さん)] 夫人;太太
おくじょう[屋上]    屋顶平台
おくびょう(な)      胆小
おくりもの[贈り物]  礼物;赠礼
おくる[送?贈る/他]送行;送给;赠送;授予
おくれる[遅れる/自] 迟到;落后
おこす[起こす/他]   扶起;发动;叫醒
おごそか(に)        庄严;严肃
おこなう[行う/他]   实行;进行;举行
おこる[怒る/自] 生气;发火;发脾气;发怒
おさえる[抑える/他] 抑制;镇压;忍住
おさない[幼い]      幼小;没成熟
おさまる[治?納?収まる/自]  平息;解决;复元
おさめる[治?納?収める/他] 治理;收存;交纳
おじ         伯父;叔父;舅父;姑父;姨父
おしい[惜しい]      可惜;舍不得
おじいさん         爷爷;外公;老大爷外
おしいれ[押し入れ] (日本式房间的)壁橱
おしえる[教える/他] 教;教导
おじぎ[お辞儀]      鞠躬;行礼;敬礼
おじさん     伯父;叔父;姑父;舅父;姨父
おしむ[惜しむ/他]吝惜;舍不得;觉得可惜
おしゃべり          多嘴多舌
おじょうさん[お嬢さん] 小姐;令爱;女儿
おしろい[白粉]      白粉;香粉
おす[雄]            (动物)公;雄性
おす[押す/他]       推;挤;压;按
おせじ[お世辞]   奉承话;恭维话;应酬话
おそい[遅い]        慢;晩
おそう[襲う/他]     袭击
おそらく            恐怕;也许
おそれ[恐れ]        危惧;畏惧
おそれる[恐れる/他] 害怕;危惧;担心
おそろしい[恐ろしい] 可怕;吓人
おそわる[教わる/他] 学习;受教
おだやか(に)     平稳;平静;温和;和气
おちつき[落ち着き]  安详;稳重;稳定
おちつく[落ち着く/自] 着落;平心静气
おちば[落ち葉]      落叶
おちゃ[お茶]        茶;茶叶
おちる[落ちる/自]   落;掉
おっしゃる/他       (敬语)说;讲;称;叫
おっと[夫]          丈夫
おつり[お釣り]      找头;找零钱
おと[音]            声响
おとうさん[お父さん] (敬意称呼)爸爸
おとうと[弟]        弟弟
おどかす/他         吓唬;威胁
おとこ[男]          男人
おとこのこ[男の子]  男孩儿
おとこらしい[男らしい] 象个男子汉
おとしもの[落し物]  遗失物品;失物
おとす[落とす/他] 使???落下;失落;弄掉
おととい            前天;前日
おととし            前年
おとな[大人]        大人;成年人
おとなしい          老实;乖;顺从
おどり[踊り]        舞蹈
おとる[劣る/自]     差;劣;不如
おどる[踊る/自]     跳舞
おとろえる[衰える/自] 衰弱
おどろかす[驚かす/他] 惊动;吓唬
おどろく[驚く/自]   吃惊;吓一跳
おなか              肚子;腹部
おなじ[同じ]        同样
おに[鬼]            鬼;非常残暴的人
おのおの            各自
おば              姑母;伯母;姨母;舅母
おばあさん        奶奶;姥姥;老太太
おばさん          伯母;姑母;姨母;叔母
おはよう            (致词)早安;早上好
おび[帯]          带子;日本和服的腰带
おひる[お昼]        中午;午饭
おぼえる[覚える/他]    记住;掌握;懂得;觉得
おぼれる/自         溺水;淹没;沉迷
おまいり[お参り(する/自)]参拜(神社)
おまえ[お前]        你
おまわりさん[お巡りさん]  (称呼)巡警;警察
おめでとう<感>      恭喜;祝贺
おも[主(な)]        主要;重要
おもい[重い]        重;沉;严重
おもいがけない[思いがけない] 意外;想不到
おもいきり[思い切り] 下狠心;索性
おもいだす[思い出す/他] 想起;回忆
おもいつく[思いつく/他] (突然)想到
おもいで[思い出]    回忆
おもう[思う/他]     想;认为;怀念;关心
おもさ[重さ]        分量;重量
おもしろい          有意思;有趣
おもちゃ            玩具
おもて[表]          表面;外头
おもむき[趣]        风趣
おもわず[思わず]不由自主地;不知不觉地
おや[親]            父母;(游戏)庄家
おやこ[親子]        父母和子女
おやすみなさい      (致词)晚安
おやつ[おやつ]      点心;零食
おやゆび[親指]      大拇指;大脚趾
およぐ[泳ぐ/自]     游泳;游水
およそ              大约;大概 
および[及び]        和;以及
およぶ[及ぶ/自]     达到;比得上;普及
おりもの[織物]      纺织品
おりる[降?下りる/自] 下;降;辞
オリンピック        奥林匹克运动会
おる[居る/自]       有;在;住在
おる[織る/他]       织;编织
おる[折る/他]       折;叠;屈;折断
オルガン            风琴
おれ                俺;咱;我
おれる[折れる/自]   拐弯;折叠;让步
おろか(な)          傻;呆笨;糊涂
おろす[降?下ろす/他] 卸;撤下;提款
おろそか(に)        疏忽;草率;马虎
おわり[終わり]      末尾
おわる[終わる/自]   结束;完毕;完结
おん[音]        声音;(日语汉字的)音读
おん[恩]            恩情;恩德
おんがく[音楽]      音乐
おんせい[音声]      声音;语音
おんせん[温泉]      温泉
おんたい[温帯]      温带
おんど[温度]        温度;热度
おんな[女]          女人
おんなのこ[女の子]  女孩儿
おんならしい[女らしい] 象个女人

か
か[科]         (区分)科;(学校)专业;系
か[課]            (部署)科;(教科书)课
か[蚊]              蚊子  
カーテン            窗帘;(舞台)幕布
カード              卡片
かい[回]            回;次
かい[階]            层;楼层
かい[会]            会;会议
かい[貝]            贝;贝壳儿
がい[害]            危害;损害
かいいん[会員]      会员
かいが[絵画]        画儿;绘画;图画
がいか[外貨]        外币;外汇
かいかい[開会(する/自他)] 开会
かいがい[海外(の)]  海外;国外
かいかく[改革(する/他)] 改革
かいがん[海岸]      海岸
がいかん[外観]      外观
かいぎ[会議]        会议
かいきゅう[階級]    阶级;等级;阶层
かいきょう[海峡]    海峡
かいぐん[海軍]      海军
かいけい[会計]      会计
かいけつ[解決(する/他)] 解决
かいけん[会見(する/自)] 会见;接见
かいごう[会合(する/自)] 聚会
がいこう[外交]      外交
がいこく[外国]      外国
がいこくご[外国語]  外语;外国语
がいこくじん[外国人] 外国人
かいさい[開催(する/他)] 举行;举办
かいさん[解散(する/他)] 解散;散会
かいし[開始(する/他)] 开始
かいしゃ[会社]      公司
かいしゃく[解釈(する/他)] 解释;理解
かいしゅう[回収(する/他)] 收回
がいしゅつ[外出(する/自)] 出门;外出
かいじょ[解除(する/他)] 解除;撤消
かいじょう[会場]    会场
かいすいよく[海水浴] 海水浴
かいすう[回数]      次数
かいすうけん[回数券] 联票
がいする[害する/他] 伤害;损害;危害
かいせい[改正(する/他)] 修改
かいせつ[解説(する/他)] 讲解;解说
かいぜん[改善(する/他)] 改善;改进
かいたく[開拓(する/他)] 开垦;开拓
かいだん[会談(する/自)] 会谈
かいだん[階段]      台阶;楼梯
かいちょう[会長]    会长
かいてん[回転(する/自)] 转动;旋转
かいとう[解答(する/自)] 解答
かいとう[回答(する/自)] 回答;答复
がいねん[概念]      概念
かいはつ[開発(する/他)] 开发;开辟
がいぶ[外部]        外部
かいふく[回復(する/自他)] 恢复
かいもの[買い物]    买东西
がいらいご[外来語]  外来语
かいりゅう[海流]    海流
かいりょう[改良(する/他)] 改良
かいわ[会話]        会话;谈话;对话
かう[飼う/他]       养;饲养
かう[買う/他]       买
かえす[返す/他]     还;还给;回敬
かえって            反而;反倒
かえり[帰り]        回来;回去;归途
かえりみる[顧みる/他] 回顾;往回看
かえる              青蛙
かえる[帰る/自]     回来;回去;返回
かえる[変える/他]   改变
かお[顔]            脸;面子
かおいろ[顔色]      脸色;气色
かおつき[顔つき]    相貌;表情
かおり[香り]        香味儿
がか[画家]          画家
かかえる[抱える/他] 抱;夹
かかく[価格]        价格
かがく[化学]        化学
かがく[科学]        科学
かがくしゃ[科学者]  科学家
かかげる[掲げる/他] 悬挂;升起;举起
かかと              脚后跟;鞋后跟
かがみ[鏡]          镜子
かがやく[輝く/自]   闪光;光荣
かかり[係]          负责人
かかる[掛かる/自]   挂上;从事;需要
かかわらず          不论;尽管 
かかわる/自         关系到???
かき[柿]            柿子
かぎ[鍵]            锁;关键;钥匙
かきかた[書き方]    写法;书法
かきとめ[書留]      挂号(邮件)
かきとり[書き取り]  听写;抄写
かきなおす[書き直す/他]重新写
かきね[垣根]        篱笆;围墙
かぎり[限り]        限度;只要???就???
かぎる[限る/自他]   限定
かく[角]            角;角度
かく[核]            核;核心;核武器
かく[書く/他]       写;画
かく[掻く/他]       抓;挠;搔  
かく[各]            各个;每个
かぐ[家具]          家具
がく[額]            金额;镜框
かくご[覚悟(する/自他)] 精神准备;决心
かくじ[各自]        每个人;各自
かくじつ[確実(に)]  确实;准确
がくしゃ[学者]      学者
かくしゅ[各種]      各种
がくしゅう[学習(する/他)] 学习
かくしん[革新(する/他)] 革新
かくしん[確信(する/他)] 确信;有把握
かくす[隠す/他]   隐藏;躲藏;隐瞒;遮盖
がくせい[学生]      学生
がくせつ[学説]      学说
かくだい[拡大(する/自他)] 扩大;放大
がくちょう[学長]    (大学)校长
かくてい[確定(する/自他)] 确定
かくど[角度]        角度
かくとく[獲得(する/他)]    获得;(努力)争取
かくにん[確認(する/他)]   (事实,原则)确认
がくねん[学年]      (年度)学年;年级
がくひ[学費]        学费
がくふ[楽譜]        乐谱
がくぶ[学部]       (大学)系
かくほ[確保(する/他)]确保
かくめい[革命]      革命;革新
がくもん[学問]      学问
かくりつ[確率]      概率;几率
がくりょく[学力]    学力
がくれき[学歴]      学历
かくれる[隠れる/自]    隐藏;躲藏;隐遁;埋没
かけ[賭け]          打赌;赌博;赌注
かげ[影]            影子;映影
がけ                悬崖;绝壁;河崖
かけあし[駆け足]    跑步;走马看花地
かけい[家計]        家庭收支
かけざん[掛け算]    乘法
かげつ[箇月]        个月
かける[駈ける/自]   快跑
かける[掛ける/他]    挂;盖;浇;花;打电话;乘
かける[欠ける/自]   缺少;欠
かける[賭ける/他]   打赌
